time,dlh_all,xlh_all,sy_all,xlh_under,dlh_under
2023-03-30T07:11:28.59Z,505,215.5,282.5,6.845,518.96
2023-03-30T11:15:28.596Z,574.875,219.125,271.77,6.115,558.5675
2023-03-30T15:19:28.602Z,469.875,204.625,293.435,4.04,402.745
2023-03-30T19:23:28.608Z,395.5,162.5,277.43,3.59,387.945
2023-03-30T23:27:28.614Z,390,160.75,269.935,3.6175,382.9525
2023-03-31T03:31:28.62Z,385.625,238.875,283.665,6.14,383.825
2023-03-31T07:35:28.626Z,386.25,314,274.78,7.8675,382.645
2023-03-31T11:39:28.632Z,411.375,261.375,277.365,5.13,389.17
2023-03-31T15:43:28.638Z,459.25,255.25,299.6575,3.94,398.845
2023-03-31T19:47:28.644Z,389.375,157.625,285.1225,4.27,381.53
2023-03-31T23:51:28.65Z,382.125,161.875,289.9625,4.12,376.525
2023-04-01T03:55:28.656Z,385.625,242.375,286.555,6.915,385.255
2023-04-01T07:59:28.662Z,389.25,281.75,283.37,6.7225,390.0875
2023-04-01T12:03:28.668Z,431.9,267.3,291.05,4.992,391.548
2023-04-01T16:07:28.674Z,436.625,247.375,306.7225,3.7625,394.705
2023-04-01T20:11:28.68Z,390,164,291.44,4.0075,383.3
2023-04-02T00:15:28.686Z,380.875,159.375,276.52,4.03,378.425
2023-04-02T04:19:28.692Z,389.75,164.5,289.7475,7.1775,389.505
2023-04-02T08:23:28.698Z,393.625,157.875,281.405,7.3625,392.51
2023-04-02T12:27:28.704Z,465,192.5,298.3075,3.535,407.2
2023-04-02T16:31:28.71Z,460.875,194.625,314.335,3.535,411.94
2023-04-02T20:35:28.716Z,409.5,153.25,302.49,3.055,401.1825
2023-04-03T00:39:28.722Z,399.375,149.625,296.5525,2.86,389.135
2023-04-03T04:43:28.728Z,404.5,210.25,286.9,7.075,402.335
2023-04-03T08:47:28.734Z,394.375,155.375,267.3225,7.425,406.3675
2023-04-03T12:51:28.74Z,450.875,189.625,259.44,3.45,443.1825
